Category,Value,Question,Answer
Teknik,100,Du använder denna för att ringa och skicka SMS.,Vad är en mobiltelefon?
Teknik,200,Detta kopplar ihop datorer globalt.,Vad är internet?
Teknik,300,En dator du enkelt kan ta med dig.,Vad är en laptop?
Teknik,400,Skapar fysiska objekt lager för lager.,Vad är 3D-printing?
Teknik,500,Utnyttjar kvantfenomen för beräkningar.,Vad är kvantdatorer?
Biologi,100,Röd vätska som cirkulerar i kroppen.,Vad är blod?
Biologi,200,Gör att växter kan tillverka egen näring.,Vad är fotosyntes?
Biologi,300,Bär på våra ärftliga egenskaper.,Vad är DNA?
Biologi,400,Beskriver arters förändring över tid.,Vad är evolution?
Biologi,500,Metod för att redigera genetiskt material.,Vad är CRISPR?
Kemi,100,H2O i fast form.,Vad är is?
Kemi,200,Gasen vi andas.,Vad är syre?
Kemi,300,Grundämne 6 i periodiska systemet.,Vad är kol?
Kemi,400,Frigör energi som värme och ljus.,Vad är förbränning?
Kemi,500,Analysmetod för kemiska blandningar.,Vad är kromatografi?
Fysik,100,Drar föremål mot jordens mitt.,Vad är gravitation?
Fysik,200,Mätenhet för elektrisk potential.,Vad är volt?
Fysik,300,Ljusets böjning mellan olika medier.,Vad är refraktion?
Fysik,400,Beskriver krafter och rörelse för makroobjekt.,Vad är klassisk mekanik?
Fysik,500,Begränsar samtidig mätning av position och rörelsemängd.,Vad är osäkerhetsprincipen?
Matematik,100,Uppdelning i lika stora delar.,Vad är division?
Matematik,200,Kan inte uttryckas som kvot av heltal.,Vad är irrationella tal?
Matematik,300,Studerar slumpmässiga händelsers utfall.,Vad är sannolikhetslära?
Matematik,400,Undersöker funktioners egenskaper.,Vad är analys?
Matematik,500,a² + b² = c² i en rätvinklig triangel.,Vad är Pythagoras sats?
