Category,Value,Question,Answer
Ovanliga djur,100,Denna fisk kan simma baklänges,Vad är en ål?
Ovanliga djur,200,Denna insekt har smaksinne i fötterna,Vad är en fluga?
Ovanliga djur,300,Denna fågel kan sova medan den flyger,Vad är en fregattfågel?
Ovanliga djur,400,Detta däggdjur har ett skelett av brosk istället för ben,Vad är en broskfisk?
Ovanliga djur,500,Denna art av bläckfisk har tre hjärtan,Vad är en jättebläckfisk?
Bisarra lagar,100,I denna amerikanska delstat är det olagligt att bära fickor bakpå byxorna,Vad är Arizona?
Bisarra lagar,200,I denna europeiska stad är det olagligt att mata duvorna,Vad är Venedig?
Bisarra lagar,300,I detta land är det olagligt att äga endast en marsvin,Vad är Schweiz?
Bisarra lagar,400,I denna kanadensiska provins är det olagligt att dra en släde på trottoaren,Vad är Nova Scotia?
Bisarra lagar,500,I denna amerikanska delstat är det tekniskt sett olagligt att duscha naken,Vad är Florida?
Märkliga maträtter,100,Denna asiatiska delikatess är ett delvis utvecklat fågelägg,Vad är balut?
Märkliga maträtter,200,Denna skandinaviska rätt består av jäst fisk,Vad är surströmming?
Märkliga maträtter,300,Denna skotska rätt består av fårhjärna täckt med ströbröd,Vad är hjärnpudding?
Märkliga maträtter,400,Denna japanska maträtt består av råa hästkött,Vad är basashi?
Märkliga maträtter,500,Denna mexikanska delikatess är larver från en viss typ av myra,Vad är escamoles?
Unika platser,100,Denna plats i Mexiko är känd för sina naturliga rosa sjöar,Vad är Las Coloradas?
Unika platser,200,Denna plats i Australien är känd för sina gigantiska granitklot,Vad är Devils Marbles?
Unika platser,300,Denna plats i Namibia är känd för sina 900 år gamla döda träd,Vad är Deadvlei?
Unika platser,400,Denna plats i Turkiet är känd för sina unika bergformationer,Vad är Kappadokien?
Unika platser,500,Denna plats i Spanien är känd för sin unika arkitektur av Antoni Gaudí,Vad är Parc Güell?
Förbryllande folktro,100,Enligt gammal folktro kan man bota hicka genom att göra detta,Vad är att bli skrämd?
Förbryllande folktro,200,Enligt gammal folktro kan man förutspå framtiden genom att titta på dessa i eld,Vad är teblad?
Förbryllande folktro,300,Enligt gammal folktro kan man avvärja onda andar genom att hänga detta i fönstret,Vad är en hästsko?
Förbryllande folktro,400,Enligt gammal folktro kan man förutspå vädret med hjälp av denna kroppsdel,Vad är knän?
Förbryllande folktro,500,Enligt gammal folktro kan man bota förkylning genom att bära dessa runt halsen,Vad är lökklyftor?
