Category,Value,Question,Answer
Rock & Metal,100,Detta svenska band slog igenom internationellt med låten The Final Countdown,Vem är Europe?
Rock & Metal,200,Han var gitarrist i Guns N' Roses och är känd för sin ikoniska stil,Vem är Slash?
Rock & Metal,300,Detta brittiska band bildades 1968 och är kända för låtar som Smoke on the Water,Vem är Deep Purple?
Rock & Metal,400,Han var frontfigur i bandet Mötley Crüe,Vem är Vince Neil?
Rock & Metal,500,Detta amerikanska hårdrocksband grundades 1974 i Kalifornien och var banbrytande inom genren,Vem är Van Halen?
Pop Hits,100,Denna popstjärna slog igenom på 1980-talet med hits som Like a Virgin,Vem är Madonna?
Pop Hits,200,Han var känd som King of Pop och dog 2009,Vem är Michael Jackson?
Pop Hits,300,Hon slog igenom med albumet 21,Vem är Adele?
Pop Hits,400,Hon var en av de mest framgångsrika popstjärnorna under 2000-talet med hits som Toxic,Vem är Britney Spears?
Pop Hits,500,Han var medlem i One Direction och har sedan haft en framgångsrik solokarriär,Vem är Harry Styles?
Techno Rave & EDM,100,Han är känd för låten Levels och samarbeten med många artister,Vem är Avicii?
Techno Rave & EDM,200,Detta tyska elektroniska musikband var banbrytande inom techno,Vilka är Kraftwerk?
Techno Rave & EDM,300,Han är känd för låtar som One More Time och är en del av Daft Punk,Vem är Thomas Bangalter?
Techno Rave & EDM,400,Hon är en kanadensisk DJ känd för låtar som Call on Me,Vem är Deadmau5?
Techno Rave & EDM,500,Detta tyska elektroniskt musikpar var världskänt under 1990-talet,Vilka är Snap!?
R&B,100,Han är känd för låtar som Crazy in Love och är gift med Jay-Z,Vem är Beyoncé?
R&B,200,Han var känd för låtar som Yeah! och Yeah! Remix,Vem är Usher?
R&B,300,Hon slog igenom med albumet Good Girl Gone Bad,Vem är Rihanna?
R&B,400,Han är känd för låtar som Blinding Lights,Vem är The Weeknd?
R&B,500,Hon var en av de mest inflytelserika R&B-artisterna under 1990-talet,Vem är Whitney Houston?
Country & Western,100,Han kallades The Man in Black och var en av de mest inflytelserika countrysångarna,Vem är Johnny Cash?
Country & Western,200,Hon är känd för låtar som Jolene och 9 to 5,Vem är Dolly Parton?
Country & Western,300,Hon började som countrysångerska och övergick senare till popmusik,Vem är Taylor Swift?
Country & Western,400,Han var känd som King of Country och hade hits som All My Ex's Live in Texas,Vem är George Strait?
Country & Western,500,Han var en av de mest älskade countrysångarna och dog i en flygolycka 1997,Vem är John Denver?
