Category,Value,Question,Answer
Komedier,100,Detta komiskt geni var känt för sina slapstick-komedier under stumfilmseran,Vem är Charlie Chaplin?
Komedier,200,Detta svenska komiska duo var känt för sina folkparksspex under 1970-och 1980-talen,Vilka är Hasseåtage?
Komedier,300,Han spelade huvudrollen i Dumma Mej-filmerna och är känd för sin komiska timing,Vem är Steve Carell?
Komedier,400,Han skapade och spelade huvudrollen i an Amerikansk sticom som utspelar sig mest i hans lägenhet,Vem är Jerry Seinfeld?
Komedier,500,Hon har nominerats för 2 st Oscar.  En för biroll till i Bridesmaids och är känd för improvisationskomedi,Vem är Melissa McCarthy?
Drama,100,Han vann en Oscar för sin roll i filmen The Revenant,Vem är Leonardo DiCaprio?
Drama,200,Denna svenske skådespelare var internationellt känd för roller i Ingmar Bergmans filmer,Vem är Max von Sydow?
Drama,300,Han spelade huvudrollen i Gudfadern-trilogin,Vem är Marlon Brando?
Drama,400,Denna skådespelerska vann två Oscar och är känd för roller i Kramer vs. Kramer,Vem är Meryl Streep?
Drama,500,Hon vann en Oscar för sin roll i filmen La La Land,Vem är Emma Stone?
Action & Thriller,100,Han är känd för roller i Taken-filmserien,Vem är Liam Neeson?
Action & Thriller,200,Han spelade Jason Bourne i actionfilmserien,Vem är Matt Damon?
Action & Thriller,300,Han är känd för roller i Mission Impossible-serien,Vem är Tom Cruise?
Action & Thriller,400,Hon var huvudrollsinnehavare i actionfilmen Atomic Blonde,Vem är Charlize Theron?
Action & Thriller,500,Denna svenske skådespelare spelade huvudrollen i Johan Falk-filmserien,Vem är Jakob Eklund?
Si-Fi,100,Han spelade huvudrollen i Interstellar,Vem är Matthew McConaughey?
Si-Fi,200,Han spelade Neo i Matrix-filmerna,Vem är Keanu Reeves?
Si-Fi,300,Denna skådespelare spelade huvudrollen i Inception och The Dark Knight-trilogin,Vem är Leonardo DiCaprio?
Si-Fi,400,Han spelade huvudrollen i Blade Runner-filmerna,Vem är Harrison Ford?
Si-Fi,500,Hon hade huvudroll i Arrival,Vem är Amy Adams?
Western & Krig,100,Han spelade huvudrollen i Saving Private Ryan,Vem är Tom Hanks?
Western & Krig,200,Han var känd för sina roller i spaghetti-westernfilmer,Vem är Clint Eastwood?
Western & Krig,300,Han regisserade och spelade huvudrollen i Braveheart,Vem är Mel Gibson?
Western & Krig,400,Han spelade huvudrollen i The Hurt Locker,Vem är Jeremy Renner?
Western & Krig,500,Denna skådespelare spelade huvudrollen i Apocalypse Now,Vem är Martin Sheen?
