Category,Value,Question,Answer
Bilar,100,Denna bilmodell från Porsche har kodnamnet 911,Vad är 992?
Bilar,200,Detta japanska företag tillverkar boxermotorer för Subaru,Vad är Fuji Heavy Industries?
Bilar,300,Denna typ av fjädring använder magnetreologisk vätska,Vad är MagneRide?
Bilar,400,Denna teknik i moderna bilar ersätter traditionella backspeglar,Vad är kamerabaserade sidospeglar?
Bilar,500,Detta material används i Koenigseggs "Hollow Carbon Fiber Wheels",Vad är TeXtreme?
Musik,100,Denna gitarreffekt skapar en svävande ljudeffekt,Vad är chorus?
Musik,200,Detta begrepp beskriver förmågan att identifiera toner utan referens,Vad är absolut gehör?
Musik,300,Denna typ av synthesizer använder frekvensmodulering för att skapa ljud,Vad är FM-synth?
Musik,400,Denna inspelningsteknik använder två mikrofoner för att skapa en stereoeffekt,Vad är X/Y-stereo?
Musik,500,Detta ovanliga taktmått används i låten Money av Pink Floyd,Vad är 7/4 takt?
Litteratur,100,Denna litterära teknik innebär att berätta en historia baklänges,Vad är in medias res?
Litteratur,200,Denna ryska författare använde stream of consciousness i "Anna Karenina",Vem är Leo Tolstoy?
Litteratur,300,Denna litterära rörelse fokuserade på det absurda i människans existens,Vad är absurdism?
Litteratur,400,Denna term beskriver en berättelse inom en berättelse,Vad är mise en abyme?
Litteratur,500,Denna obscura litterära genre blandar sci-fi med viktoriansk estetik,Vad är steampunk?
Trädgårdsodling,100,Denna teknik innebär att man skär bort delar av rötterna för att begränsa tillväxten,Vad är rotbeskärning?
Trädgårdsodling,200,Denna typ av kompost görs av maskar,Vad är vermikompost?
Trädgårdsodling,300,Denna odlingsteknik använder fisk och växter i ett symbiotiskt system,Vad är akvaponi?
Trädgårdsodling,400,Denna japanska beskärningsteknik skapar miniatyrträd,Vad är niwaki?
Trädgårdsodling,500,Denna ovanliga odlingsmetod använder dimma för att leverera näring,Vad är aeroponik?
Smink och Mode,100,Denna typ av foundation ger hög täckning och matt finish,Vad är puderfoundation?
Smink och Mode,200,Denna skärning på byxor slutar strax ovanför ankeln,Vad är cropped?
Smink och Mode,300,Denna makeupteknik använder ljusa och mörka nyanser för att skulptera ansiktet,Vad är contouring?
Smink och Mode,400,Denna sömnadsteknik skapar en tredimensionell effekt på tyg,Vad är smocking?
Smink och Mode,500,Denna ovanliga makeupteknik använder små klistermärken för att skapa mönster,Vad är face lace?
