Category,Value,Question,Answer
Jultraditioner,100,Den svenska traditionen där man doppar bröd i spad på julafton.,Vad är dopp i grytan?
Jultraditioner,200,Den svenska staden som är känd för sin stora julbock.,Vad är Gävle?
Jultraditioner,300,Högtiden som firades i Norden innan den kristna julen infördes.,Vad är midvinterblot?
Jultraditioner,400,Dagen då lutningen av lutfisk traditionellt börjar för att bli klar till jul.,Vad är Anna-dagen?
Jultraditioner,500,Den europeiska traditionen där man kysser någon under en viss växt.,Vad är misteln?
Julens historia,100,Högtiden som firas till minne av Jesu födelse.,Vad är julen?
Julens historia,200,Händelsen som högtiden påsk firar enligt kristendomen.,Vad är Jesu uppståndelse?
Julens historia,300,Den romerska högtiden som kristendomen anpassade till att bli julen.,Vad är Saturnalia?
Julens historia,400,Föremålet som enligt Bibeln ledde de tre vise männen till Jesusbarnet.,Vad är Betlehemsstjärnan?
Julens historia,500,Fornordiska namnet på den fest som senare blev julfirandet.,Vad är jól?
Julfilmer,100,Filmen där Kevin McCallister lämnas ensam hemma under julen.,Vad är Home Alone?
Julfilmer,200,Svensk julfilm där Peter Haber spelar huvudrollen och kaos uppstår under en julmiddag.,Vad är Tomten är far till alla barnen?
Julfilmer,300,Titel på filmen där Hugh Grant spelar premiärminister under juletid.,Vad är Love Actually?
Julfilmer,400,Svensk julkalender från 1991 som blev en klassiker med familjen Olsson i huvudrollen.,Vad är Sunes Jul?
Julfilmer,500,Svensk film regisserad av Ingmar Bergman med ett klassiskt julfirande och fyra Oscarsvinster.,Vad är Fanny och Alexander?
Julmat och dryck,100,Drycken som säljer mer än Coca-Cola i Sverige under december.,Vad är julmust?
Julmat och dryck,200,Maträtten som ofta innehåller risgryn och serveras med kanel och socker under julen.,Vad är risgrynsgröt?
Julmat och dryck,300,Klassisk svensk rätt gjord på torkad fisk behandlad med lut.,Vad är lutfisk?
Julmat och dryck,400,Mandeln i gröten som sägs bringa tur till den som hittar den.,Vad är sötmandel?
Julmat och dryck,500,Klassiska svenska chokladasken introducerad 1939 med praliner som Trillingnöt och Gräddnougat.,Vad är Aladdin-asken?
Julsånger,100,Sången där man sjunger om en rödklädd figur med skägg som kommer med klappar.,Vad är Tomtarnas julnatt?
Julsånger,200,Sången där man uppmanas att tända ljus och sprida ljusets glädje i juletid.,Vad är Nu tändas tusen juleljus?
Julsånger,300,Sången där man sjunger om att dansa runt granen tillsammans på julafton.,Vad är Räven raskar över isen?
Julsånger,400,Sången där man sjunger om en kall vinternatt och en stjärna som lyser över Betlehem.,Vad är Stilla natt?
Julsånger,500,Sången av Adolphe Adam som handlar om Jesu födelse och ofta framförs av operasångare.,Vad är O helga natt?
