Category,Value,Question,Answer
Bisarra maträtter,100,Asiatisk delikatess bestående av delvis utvecklade fågelembryon.,Vad är balut?
Bisarra maträtter,200,Italiensk ost som innehåller larver från ostflugan.,Vad är casu marzu?
Bisarra maträtter,300,Japansk maträtt gjord på råa sjögurkor.,Vad är namako?
Bisarra maträtter,400,Skotsk rätt gjord på får- eller kalmagsäck.,Vad är haggis?
Bisarra maträtter,500,Nordisk surströmming gjord på jäst fisk.,Vad är rakfisk?
Ovanliga sporter,100,Sport där deltagarna springer och snurrar tallrikar på pinnar.,Vad är tallrikssnurr?
Ovanliga sporter,200,Brittisk sport där deltagarna rullar ostar nedför en kulle.,Vad är ostkullerullning?
Ovanliga sporter,300,Sport där deltagarna hoppar i gyttjepölar.,Vad är gyttjehoppning?
Ovanliga sporter,400,Finsk sport där deltagarna bär sina fruar i en hinderbana.,Vad är kärringkånk?
Ovanliga sporter,500,Extremsport där deltagarna hoppar från höga byggnader med fallskärm.,Vad är BASE-hoppning?
Märkliga djur,100,Australiensisk däggdjur med näbb som lägger ägg.,Vad är näbbdjur?
Märkliga djur,200,Mexikansk hundras helt utan päls.,Vad är xoloitzcuintle?
Märkliga djur,300,Djur som ser ut som en blandning mellan kanin och hjort.,Vad är hirschkanin?
Märkliga djur,400,Fisk som kan klättra i träd och andas luft.,Vad är klätterfisk?
Märkliga djur,500,Djur som liknar en blandning av giraff zebra och antilop.,Vad är okapi?
Konstiga lagar,100,Lag i Alaska som förbjuder älgar att åka i flygplan.,Vad är Alaskas älgflyglag?
Konstiga lagar,200,Lag i Ohio som förbjuder fisk att bli berusade.,Vad är Ohios fiskonykterhetslag?
Konstiga lagar,300,Lag i Storbritannien som säger att det är förräderi att sätta ett frimärke med monarkens huvud upp och ner.,Vad är brittiska frimärkslagen?
Konstiga lagar,400,Lag i Arizona som gör det olagligt för åsnor att sova i badkar.,Vad är Arizonas åsnebadkarslag?
Konstiga lagar,500,Lag i Florida som förbjuder ogifta kvinnor att hoppa fallskärm på söndagar.,Vad är Floridas fallskärmsförbud?
Bisarra världsrekord,100,Rekord för flest kläder burna samtidigt.,Vad är rekordet för flest lager kläder?
Bisarra världsrekord,200,Rekord för längsta tid att stå på ett ben.,Vad är rekordet för att stå på ett ben?
Bisarra världsrekord,300,Rekord för flest sniglar på ansiktet samtidigt.,Vad är snigelansiktsrekordet?
Bisarra världsrekord,400,Rekord för längsta tid att hålla andan under vatten.,Vad är rekordet för att hålla andan?
Bisarra världsrekord,500,Rekord för längsta avstånd att spruta mjölk ur ögat.,Vad är ögonmjölkssprutningsrekordet?
