Category,Value,Question,Answer
1960,100,Denna psykedeliska låt från 1967 innehåller textraden Picture yourself in a boat on a river,Vad är Lucy in the Sky with Diamonds av The Beatles?
1960,200,Detta amerikanska band hade en hit 1966 med en låt om en goat-footed balloonMan,Vilka är The Lovin' Spoonful med Summer in the City?
1960,300,Denna artist sjöng om en tambourine man i en låt från 1965,Vem är Bob Dylan med Mr. Tambourine Man?
1960,400,Detta brittiska band hade en hit 1964 med en låt inspirerad av en Boris Karloff-film,Vilka är The Kinks med You Really Got Me?
1960,500,Denna låt från 1968 innehåller ett av de längsta fade-outs i pophistorien,Vad är Hey Jude av The Beatles?
1970,100,Denna låt från 1971 innehåller textraden Imagine there's no countries,Vad är Imagine av John Lennon?
1970,200,Detta progressiva rockband släppte konceptalbumet The Wall 1979,Vilka är Pink Floyd?
1970,300,Denna artist hade en hit 1973 med en låt om en crocodile rock,Vem är Elton John?
1970,400,Detta funkband hade en hit 1978 med en låt om en September night,Vilka är Earth Wind & Fire?
1970,500,Denna låt från 1977 innehåller textraden You can check out any time you like but you can never leave,Vad är Hotel California av Eagles?
1980,100,Denna brittiska artist hade en hit 1981 med en låt om att dance with somebody,Vem är Peter Gabriel med I Go Swimming?
1980,200,Detta new wave-band hade en hit 1983 med en låt om walking in the rain,Vilka är The Police med Walking on the Moon?
1980,300,Denna artist sjöng om en sweet dream i en låt från 1983,Vem är Annie Lennox (Eurythmics) med Sweet Dreams (Are Made of This)?
1980,400,Detta band hade en hit 1987 med en låt om att slide it in,Vilka är Whitesnake?
1980,500,Denna låt från 1985 innehåller textraden I want to know what love is, I want you to show me
1990,100,Denna grunge-låt från 1991 innehåller textraden Here we are now, entertain us
1990,200,Detta brittiska band hade en hit 1995 med en låt om en wonderwall,Vilka är Oasis?
1990,300,Denna artist sjöng om att vara stronger than yesterday i en låt från 1999,Vem är Britney Spears med Stronger?
1990,400,Detta R&B-band hade en hit 1994 med en låt om att creep,Vilka är TLC?
1990,500,Denna låt från 1997 innehåller textraden You're my wonderwall,Vad är Don't Speak av No Doubt?
2000,100,Denna artist hade en hit 2003 med en låt om att vara beautiful,Vem är Christina Aguilera?
2000,200,Detta indie-rockband hade en hit 2004 med en låt om Mr. Brightside,Vilka är The Killers?
2000,300,Denna artist sjöng om en paparazzi i en låt från 2009,Vem är Lady Gaga?
2000,400,Detta elektroniska duo hade en hit 2013 med en låt om att vara lucky,Vilka är Daft Punk med Get Lucky?
2000,500,Denna låt från 2008 innehåller textraden You're gonna hear me roar,Vad är Roar av Katy Perry?
