Category,Value,Question,Answer
Trä,100,Verktyg för att göra hål i trä.,Vad är borr?
Trä,200,Träslag känt för sin styrka och motståndskraft mot röta.,Vad är ek?
Trä,300,Teknik för att sammanfoga två träbitar i 90 graders vinkel.,Vad är sinkning?
Trä,400,Verktyg för att forma och jämna ut träytor.,Vad är hyvel?
Trä,500,Japansk träbearbetningsteknik utan användning av spik eller lim.,Vad är kanawa tsugi?
Glas,100,Metod för att forma glas genom upphettning och blåsning.,Vad är glassblåsning?
Glas,200,Typ av glas som är motståndskraftigt mot höga temperaturer.,Vad är borosilikatglas?
Glas,300,Teknik för att dekorera glas med slipade mönster.,Vad är glasgravyr?
Glas,400,Färglöst glas med hög ljusbrytning ofta använt i prismor och linser.,Vad är kristallglas?
Glas,500,Antik glasframställningsteknik som skapar ett iridiserande skimmer på ytan.,Vad är lysterglas?
Textil,100,Naturfiber från bomullsväxten.,Vad är bomull?
Textil,200,Vävteknik där inslagsgarnet löper över och under varpen.,Vad är tuskaft?
Textil,300,Färgämne utvunnet från en snäcka och använt för att färga tyg lila.,Vad är purpur?
Textil,400,Japansk färgningsteknik genom att vika binda och färga tyg.,Vad är shibori?
Textil,500,Peruansk textilteknik med knutna färgade trådar.,Vad är quipu?
Keramik,100,Mjuk och formbar massa som används för att skapa keramik.,Vad är lera?
Keramik,200,Keramisk glasyr med spräckligt mönster.,Vad är krackelering?
Keramik,300,Typ av keramik bränd i låg temperatur och poröst om oglaserat.,Vad är terrakotta?
Keramik,400,Japansk keramik kännetecknad av sin enkelhet och rustika skönhet.,Vad är raku?
Keramik,500,Antik kinesisk keramik med en unik djupblå glasyr.,Vad är seladon?
Metall,100,Process för att forma metall genom upphettning och hamring.,Vad är smide?
Metall,200,Metall eller legering som smälter vid låg temperatur.,Vad är lödtenn?
Metall,300,Teknik för att dekorera metall genom att fylla i graverade mönster med en annan metall.,Vad är damaskinering?
Metall,400,Legering av koppar och tenn ofta använd för bronsstatyer.,Vad är brons?
Metall,500,Antik metallearbetningsteknik för att skapa mönster genom att hamra in trådar av guld eller silver.,Vad är granulering?
