Category,Value,Question,Answer
Italiensk mat,100,Denna pastarätt består av långa tunna nudlar och en sås gjord på guanciale (griskind) och äggula.,Vad är carbonara?
Italiensk mat,200,Denna risrätt tillagas med buljong och smaksätts ofta med saffran.,Vad är risotto?
Italiensk mat,300,Denna efterrätt består av espressoindränkta savoiardikex och mascarponeost.,Vad är tiramisu?
Italiensk mat,400,Denna maträtt består av panerad och friterad kalvkött som serveras med citron.,Vad är Cotoletta alla Milanese?
Italiensk mat,500,Denna italienska paj är fylld med ägg och ost och kan innehålla olika grönsaker eller kött.,Vad är frittata?
Mexikansk mat,100,Dessa majstortillas fylls med kött eller grönsaker och toppas med salsa och gräddfil.,Vad är tacos?
Mexikansk mat,200,Denna rätt består av majstortillas fyllda med ost och serveras med salsa och gräddfil.,Vad är quesadillas?
Mexikansk mat,300,Denna soppa görs på tomat och chilipeppar och serveras ofta med tortillachips.,Vad är sopa de tortilla?
Mexikansk mat,400,Denna maträtt består av en majsdeg fylld med kött eller grönsaker och ångkokas i ett majsblad.,Vad är tamales?
Mexikansk mat,500,Denna chokladdryck kryddas med kanel och chili och har sitt ursprung i mayakulturen.,Vad är champurrado?
Japansk mat,100,Denna rätt består av rå fisk eller skaldjur som serveras med ris och wasabi.,Vad är sushi?
Japansk mat,200,Denna nudelrätt serveras i en buljong och toppas med kött eller grönsaker.,Vad är ramen?
Japansk mat,300,Denna panerade och friterade rätt kan göras på fisk eller grönsaker och serveras med en dipsås.,Vad är tempura?
Japansk mat,400,Denna japanska gryta består av kött eller grönsaker som tillagas i en buljong vid bordet.,Vad är shabu-shabu?
Japansk mat,500,Denna efterrätt består av grönt te och mjukglass.,Vad är matcha-glass?
Indisk mat,100,Denna rätt består av kyckling tillagad i en krämig tomatsås och serveras med ris eller naan-bröd.,Vad är chicken tikka masala?
Indisk mat,200,Denna vegetariska rätt består av linser och kryddas ofta med spiskummin och gurkmeja.,Vad är dal?
Indisk mat,300,Denna rätt består av marinerat och grillat kött som serveras med grönsaker och en yoghurtsås.,Vad är tandoori?
Indisk mat,400,Denna efterrätt består av friterade mjölkbollar i en sockersirap smaksatt med kardemumma och saffran.,Vad är gulab jamun?
Indisk mat,500,Denna kryddstarka soppa från södra Indien görs på linser och grönsaker och serveras med ris.,Vad är sambar?
Thailändsk mat,100,Denna rätt består av risnudlar som serveras med grönsaker och tofu eller kött i en kryddig buljong.,Vad är pad thai?
Thailändsk mat,200,Denna soppa görs på kokosmjölk och kryddas med citrongräs och chilipeppar.,Vad är tom kha gai?
Thailändsk mat,300,Denna sallad består av papaya som blandas med chili, lime och fiskås.
Thailändsk mat,400,Denna rätt består av stekt ris med grönsaker och ägg och serveras ofta med kyckling eller räkor.,Vad är khao pad?
Thailändsk mat,500,Denna efterrätt består av klibbigt ris som ångas med kokosmjölk och serveras med mango.,Vad är khao niao mamuang?
