Category,Value,Question,Answer
Geografi,100,Den största oceanen på jorden,Vad är Stilla havet?
Geografi,200,Det längsta flodsystemet i världen,Vad är Amazonas?
Geografi,300,Staden känd som den eviga staden,Vad är Rom?
Geografi,400,Landet med pyramiderna,Vad är Egypten?
Geografi,500,Den högsta bergstoppen i världen,Vad är Mount Everest?
Historia,100,Kvinnan som ledde Frankrike under hundraårskriget,Vem är Jeanne dArc?
Historia,200,Muren som delade Berlin fram till 1989,Vad är Berlinmuren?
Historia,300,Författaren till Upplysningens lära,Vem är Voltaire?
Historia,400,Året när andra världskriget slutade,Vad är 1945?
Historia,500,Den första presidenten i USA,Vem är George Washington?
Vetenskap,100,Den process genom vilken växter omvandlar ljus till energi,Vad är fotosyntes?
Vetenskap,200,Den kemiska formeln för vatten,Vad är H2O?
Vetenskap,300,Det organ i människokroppen som pumpar blod,Vad är hjärtat?
Vetenskap,400,Den grundläggande enheten av liv,Vad är cellen?
Vetenskap,500,Teorin om relativitet skapad av Albert Einstein,Vad är relativitetsteorin?
Litteratur,100,Författaren till Moby Dick,Vem är Herman Melville?
Litteratur,200,Den första boken i Harry Potter-serien,Vad är Harry Potter och de vises sten?
Litteratur,300,Kända verket av Leo Tolstoy om rysk historia,Vad är Krig och fred?
Litteratur,400,Diktare som skrev om skönheten i naturen,Vem är William Wordsworth?
Litteratur,500,Kvinnlig författare som skrev Stolthet och fördom,Vem är Jane Austen?
Konst,100,Målare av Mona Lisa,Vem är Leonardo da Vinci?
Konst,200,Kända verk av Pablo Picasso,Vad är Guernica?
Konst,300,Stil som betonar ljus och skugga,Vad är chiaroscuro?
Konst,400,Skulptörer av David från Florens,Vem är Michelangelo?
Konst,500,Rörelsen känd för att fokusera på känslor och individens upplevelse,Vad är romantiken?
