Category,Value,Question,Answer
Svenska skådespelare,100,Denna skådespelare är känd för sin roll som Lisbeth Salander i 'Millennium'-trilogin.,Vem är Noomi Rapace?
Svenska skådespelare,200,Han spelade huvudrollen i 'En man som heter Ove' och 'Hundraåringen som klev ut genom fönstret och försvann'.,Vem är Rolf Lassgård?
Svenska skådespelare,300,Denna Oscarsvinnande aktris började sin karriär som balettdansös.,Vem är Alicia Vikander?
Svenska skådespelare,400,Han är känd för sina roller i Hollywood-filmer som 'Thor' och 'Avengers'.,Vem är Stellan Skarsgård?
Svenska skådespelare,500,Denna skådespelerska har vunnit en Guldbagge för bästa kvinnliga huvudroll.,Vem är Pernilla August?
Svenska musiker,100,Hon slog igenom som 10-åring i Talang 2008 och har sedan dess blivit en internationell popstjärna.,Vem är Zara Larsson?
Svenska musiker,200,Denna svenska popgrupp hade en hit med låten 'The Sign' på 90-talet.,Vilka är Ace of Base?
Svenska musiker,300,Han är känd som 'Swedish House Mafia'-medlem och har producerat hits för artister som The Weeknd.,Vem är Max Martin?
Svenska musiker,400,Denna svenska rappare hade stora framgångar med låtar som 'Blåjeans' och 'Håller du'.,Vem är Einár?
Svenska musiker,500,Hon vann Eurovision Song Contest 2012 med låten 'Euphoria'.,Vem är Loreen?
Svenska TV-profiler,100,Hon är programledare för 'Let's Dance' och 'Biggest Loser VIP'.,Vem är Petra Mede?
Svenska TV-profiler,200,Denna komiker är känd för sitt program 'Parlamentet' och sin roll i 'Solsidan'.,Vem är Felix Herngren?
Svenska TV-profiler,300,Han är en av programledarna i 'På spåret' och har även lett 'Melodifestivalen'.,Vem är Kristian Luuk?
Svenska TV-profiler,400,Denna journalist och programledare är känd för sina granskande reportage i 'Uppdrag granskning'.,Vem är Janne Josefsson?
Svenska TV-profiler,500,Hon är en av Sveriges mest kända meteorologer och har lett 'Nyhetsmorgon' i TV4.,Vem är Lotte Fernvall?
Svenska författare,100,Han är författaren bakom de populära Millenniumböckerna.,Vem är Stieg Larsson?
Svenska författare,200,Denna barnboksförfattare skapade karaktärer som Pippi Långstrump och Emil i Lönneberga.,Vem är Astrid Lindgren?
Svenska författare,300,Han är känd för sina deckare om Kurt Wallander.,Vem är Henning Mankell?
Svenska författare,400,Denna författare har skrivit den internationella bästsäljaren 'En man som heter Ove'.,Vem är Fredrik Backman?
Svenska författare,500,Hon är poet och har vunnit Nobelpriset i litteratur.,Vem är Tomas Tranströmer?
Svenska idrottare,100,Denna fotbollsspelare är känd för sin tid i Manchester United och svenska landslaget.,Vem är Zlatan Ibrahimović?
Svenska idrottare,200,Hon är en av världens bästa kvinnliga golfspelare och har vunnit flera majors.,Vem är Annika Sörenstam?
Svenska idrottare,300,Denna skidåkare har vunnit OS-guld i både längdskidåkning och skidskytte.,Vem är Charlotte Kalla?
Svenska idrottare,400,Han är en av Sveriges mest framgångsrika tennisspelare genom tiderna.,Vem är Björn Borg?
Svenska idrottare,500,Denna friidrottare har världsrekordet i stavhopp utomhus.,Vem är Armand Duplantis?
