Category,Value,Question,Answer
Antiken,100,Denna stad förstördes av ett vulkanutbrott år 79 e.Kr.,Vad är Pompeji?
Antiken,200,Denna egyptiska drottning var känd för sin relation med Julius Caesar,Vem är Kleopatra?
Antiken,300,Detta imperium grundades av Kyros den store omkring 550 f.Kr.,Vad är det persiska riket?
Antiken,400,Denna grekiska filosof var lärare till Alexander den store,Vem är Aristoteles?
Antiken,500,Denna antika stad var centrum för den minoiska civilisationen,Vad är Knossos?
Medeltiden,100,Denna epidemi dödade en tredjedel av Europas befolkning på 1300-talet,Vad är digerdöden?
Medeltiden,200,Detta folk från Skandinavien var kända för sina plundringar i Europa,Vilka är vikingarna?
Medeltiden,300,Denna militära kampanj syftade till att erövra det heliga landet,Vad är korstågen?
Medeltiden,400,Denna engelska kung är känd som Lejonhjärta,Vem är Rikard I?
Medeltiden,500,Detta dokument begränsade den engelska kungens makt år 1215,Vad är Magna Carta?
Moderna Tiden,100,Denna revolution startade i Frankrike 1789,Vad är franska revolutionen?
Moderna Tiden,200,Denna person ledde Sovjetunionen under större delen av andra världskriget,Vem är Josef Stalin?
Moderna Tiden,300,Detta krig mellan nord- och sydstaterna pågick 1861-1865,Vad är amerikanska inbördeskriget?
Moderna Tiden,400,Denna konferens 1884-1885 reglerade europeisk kolonisation av Afrika,Vad är Berlinkonferensen?
Moderna Tiden,500,Denna händelse 1962 riskerade att utlösa ett kärnvapenkrig,Vad är Kubakrisen?
Uppfinningar,100,Denna uppfinning av Johannes Gutenberg revolutionerade bokproduktionen,Vad är boktryckarkonsten?
Uppfinningar,200,Denna uppfinning av Alexander Graham Bell möjliggjorde långväga kommunikation,Vad är telefonen?
Uppfinningar,300,Denna uppfinning av bröderna Wright förändrade transportmöjligheterna,Vad är flygplanet?
Uppfinningar,400,Denna uppfinning av Tim Berners-Lee kopplade samman datorer globalt,Vad är World Wide Web?
Uppfinningar,500,Denna uppfinning av Louis Pasteur förhindrade mjölk från att surna,Vad är pastörisering?
Historiska Platser,100,Denna kinesiska konstruktion är synlig från rymden,Vad är kinesiska muren?
Historiska Platser,200,Denna antika stad var centrum för mayakulturen,Vad är Chichen Itza?
Historiska Platser,300,Detta palats var hem för franska kungar innan franska revolutionen,Vad är Versailles?
Historiska Platser,400,Denna ö utanför New York var inkörsport för miljoner immigranter,Vad är Ellis Island?
Historiska Platser,500,Denna forntida stad i Jordanien är känd för sina klipputhuggna byggnader,Vad är Petra?
