Category,Value,Question,Answer
Klassiska Filmcitat,100,Ett citat från en romantisk äventyrsfilm från 1997 yttrades när huvudpersonen stod på fören av ett fartyg,Vad är I'm the king of the world?
Klassiska Filmcitat,200,Replik från en mafiafilm från 1972 som blivit ett av de mest kända citaten genom tiderna,Vad är I'm gonna make him an offer he can't refuse?
Klassiska Filmcitat,300,Ett citat från en rymdäventyrsfilm som blivit ett av de mest kända,Vad är May the Force be with you?
Klassiska Filmcitat,400,Replik från en actionfilm som blivit ett populärt avskedscitat,Vad är Hasta la vista baby?
Klassiska Filmcitat,500,Ett citat från en psykologisk thriller med Anthony Hopkins,Vad är I ate his liver with some fava beans and a nice Chianti?
Actionfilmer,100,Ett citat från en film med Robert De Niro som blivit känt för sin aggressiva ton,Vad är You talkin' to me??
Actionfilmer,200,Replik från en kubansk mafiafilm från 1983 har blivit ett av de mest kända citaten,Vad är Say hello to my little friend?
Actionfilmer,300,Ett citat från en spionfilm som blivit den mest kända presentationsfraser genom tiderna,Vad är Bond. James Bond?
Actionfilmer,400,Replik från en science fiction-film med Arnold Schwarzenegger har blivit ett kultcitat,Vad är I'll be back?
Actionfilmer,500,Citat från en film med Liam Neeson som blivit känt för sin hotfulla ton,Vad är I will find you and I will kill you?
Romantiska Komedier,100,Citat från en romantisk komedi från 1996 har blivit känt för sin kärleksfulla ton,Vad är You had me at hello?
Romantiska Komedier,200,Replik från en romantisk dansfilm som blivit känd för sin humoristiska ton,Vad är Nobody puts Baby in a corner?
Romantiska Komedier,300,Detta kärleksfulla citat kommer från en brittisk romantisk komedi från 2003 som följer flera kärlekshistorier under julperioden,Vad är Love actually is all around?
Romantiska Komedier,400,Detta ikoniska kärlekscitat kommer från en romantisk komedi från 1999 med Julia Roberts där hon spelar en bokhandlerska,Vad är I'm just a girl standing in front of a boy asking him to love her?
Romantiska Komedier,500,Detta kärleksfulla citat yttrades av Tom Cruise i en romantisk dramakomedi från 1996 där han spelar en sportjournalist,Vad är You complete me?
Science Fiction,100,Detta citat från en science fiction-film har blivit känt för sin utomjordiska ton,Vad är E.T. phone home?
Science Fiction,200,Detta kusliga citat kommer från en psykologisk thriller från 1999 regisserad av M. Night Shyamalan,Vad är I see dead people?
Science Fiction,300,Denna filosofiska uppmaning kommer från en banbrytande science fiction-film från 1999 som utspelar sig i en virtuell verklighet,Vad är You take the blue pill... You take the red pill...
Science Fiction,400,Detta existentiella citat är ursprungligen titeln på en science fiction-roman från 1968 av Philip K. Dick som senare blev en banbrytande science fiction-film från 1982,Vad är Do androids dream of electric sheep?
Science Fiction,500,Ett besatta citat från den sista delen av en episk fantasy-filmtrilogi,Vad är My precious?
Drama,100,Citat från en dramafilm från 1997 med Tom Hanks,Vad är Life is like a box of chocolates?
Drama,200,Det mest berömda filmcitat som faktiskt aldrig yttras i filmen,Vad är Play it again Sam?
Drama,300,En existentiella presentation som yttras av en personifikation i en medeltida dramafilm från 1957,Vad är "Jag är döden"?
Drama,400,Citat som yttras av en överste under en intensiv rättegång i en militärfilm från 1992,Vad är "You can't handle the truth"?
Drama,500,Detta ikoniska citat yttras av en löjtnant i en krigsfilm från 1979 som skildrar det absurda i Vietnamkriget,Vad är "I love the smell of napalm in the morning"?
