Category,Value,Question,Answer
1960,100,Detta psykedeliska band släppte albumet His Satanic Majesties Request 1967,Vilka är The Rolling Stones?
1960,200,Denna gitarrist spelade in instrumentallåten Apache 1960,Vem är Bert Weedon?
1960,300,Detta band släppte den experimentella låten Revolution 9 1968,Vilka är The Beatles?
1960,400,Denna artist släppte det inflytelserika folkrockalbumet Astral Weeks 1968,Vem är Van Morrison?
1960,500,Detta progressiva rockband debuterade med albumet The Piper at the Gates of Dawn 1967,Vilka är Pink Floyd?
1970,100,Detta glamrockband hade en hit med All the Young Dudes skriven av David Bowie,Vilka är Mott the Hoople?
1970,200,Denna gitarrist släppte det instrumentala albumet Blow by Blow 1975,Vem är Jeff Beck?
1970,300,Detta progressiva rockband släppte det konceptuella dubbelalbumet Lamb Lies Down on Broadway 1974,Vilka är Genesis?
1970,400,Denna artist släppte det experimentella albumet Berlin 1973,Vem är Lou Reed?
1970,500,Detta punkband släppte det inflytelserika albumet Raw Power 1973,Vilka är The Stooges?
1980,100,Detta new wave-band hade en hit med Enola Gay 1980,Vilka är Orchestral Manoeuvres in the Dark?
1980,200,Denna gitarrist släppte det instrumentala albumet Surfing with the Alien 1987,Vem är Joe Satriani?
1980,300,Detta alternativa rockband släppte det inflytelserika albumet Daydream Nation 1988,Vilka är Sonic Youth?
1980,400,Denna artist släppte det experimentella albumet Oil and Gold 1985,Vilka är Shriekback?
1980,500,Detta industriella band debuterade med albumet Pretty Hate Machine 1989,Vilka är Nine Inch Nails?
1990,100,Detta grungeband släppte det kontroversiella albumet In Utero 1993,Vilka är Nirvana?
1990,200,Denna artist släppte det genreöverskridande albumet Post 1995,Vem är Björk?
1990,300,Detta alternativa rockband släppte det experimentella albumet OK Computer 1997,Vilka är Radiohead?
1990,400,Detta noiserockband släppte det inflytelserika albumet Loveless 1991,Vilka är My Bloody Valentine?
1990,500,Detta progressiva metalband släppte det konceptuella albumet Ænima 1996,Vilka är Tool?
2000,100,Detta indierockband släppte det kritikerrosade albumet Is This It 2001,Vilka är The Strokes?
2000,200,Denna artist släppte det experimentella dubbelalbumets Speakerboxxx/The Love Below 2003,Vilka är Outkast?
2000,300,Detta alternativa rockband släppte det ambitiösa albumet Yoshimi Battles the Pink Robots 2002,Vilka är The Flaming Lips?
2000,400,Detta postpunkband släppte det inflytelserika albumet Turn on the Bright Lights 2002,Vilka är Interpol?
2000,500,Detta experimentella rockband släppte det konceptuella albumet The Hazards of Love 2009,Vilka är The Decemberists?
