Category,Value,Question,Answer
Spöken,100,Denna genomskinliga varelse sägs hemsöka gamla hus.,Vad är ett gengångare?
Spöken,200,Skotsk slott känt för sina många övernaturliga historier.,Vad är Glamis Castle?
Spöken,300,Fenomen där en levande persons ande sägs visa sig på annan plats.,Vad är en doppelgängare?
Spöken,400,Japansk övernaturlig varelse som ofta avbildas utan ben.,Vad är en yurei?
Spöken,500,Metod för att kommunicera med andar via knackningar.,Vad är bordsknackning?
Varulvar,100,Mytisk varelse som förvandlas vid fullmåne.,Vad är en lykantropi?
Varulvar,200,Metal som sägs kunna skada dessa mytiska varelser.,Vad är silver?
Varulvar,300,Fransk region känd för sina legender om människovargar.,Vad är Gévaudan?
Varulvar,400,Tillstånd där en person tror sig vara en varg.,Vad är klinisk lykantropi?
Varulvar,500,Nordisk gud som sägs ha skapat den första människovargen.,Vad är Loki?
Vampyrer,100,Odöd varelse som livnär sig på blod.,Vad är en blodsugare?
Vampyrer,200,Transylvanisk greve som är den mest kända av dessa varelser.,Vem är Dracula?
Vampyrer,300,Växt som sägs skydda mot dessa nattliga varelser.,Vad är vitlök?
Vampyrer,400,Slavisk term för odöda som återvänder för att plåga de levande.,Vad är en upir?
Vampyrer,500,Historisk person vars grymhet inspirerade legender om blodsugare.,Vem är Vlad Tepes?
Magi,100,Person som utövar övernaturliga krafter och trolldom.,Vad är en häxa?
Magi,200,Föremål som används för att kasta förtrollningar.,Vad är en trollstav?
Magi,300,Konsten att förutsäga framtiden genom kort.,Vad är tarot?
Magi,400,Ockult vetenskap som syftar till att omvandla metaller till guld.,Vad är alkemi?
Magi,500,Forntida egyptisk gud förknippad med visdom och övernaturliga krafter.,Vem är Thoth?
Voodoo,100,Karibisk religion med rötter i Västafrika.,Vad är hoodoo?
Voodoo,200,Föremål använd i vissa ritualer för att påverka personer.,Vad är en poppet?
Voodoo,300,Religiös ledare inom denna tro.,Vad är en houngan eller mambo?
Voodoo,400,Andevarelse som kan besätta människor i denna tro.,Vad är en loa?
Voodoo,500,Haitisk gud förknippad med döden och återuppståndelsen.,Vem är Baron Samedi?
