Category,Value,Question,Answer
Målare,100,Nederländsk postimpressionist känd för sina självporträtt.,Vem är Vincent van Gogh?
Målare,200,Spansk surrealistisk konstnär känd för sina unika mustascher.,Vem är Salvador Dalí?
Målare,300,Mexikansk konstnär känd för sina färgstarka självporträtt.,Vem är Frida Kahlo?
Målare,400,Italiensk renässanskonstnär som målade taket i Sixtinska kapellet.,Vem är Michelangelo?
Målare,500,Norsk expressionistisk konstnär känd för Skriet.,Vem är Edvard Munch?
Skulptörer,100,Italiensk skulptör känd för sin David-staty.,Vem är Michelangelo?
Skulptörer,200,Fransk skulptör känd för Tänkaren.,Vem är Auguste Rodin?
Skulptörer,300,Spansk skulptör och målare känd för sina abstrakta skulpturer.,Vem är Pablo Picasso?
Skulptörer,400,Rumänsk skulptör känd för sina minimalistiska skulpturer.,Vem är Constantin Brâncuși?
Skulptörer,500,Amerikansk skulptör känd för sina mobiler.,Vem är Alexander Calder?
Konstperioder,100,Konstperiod präglad av realism och ljuseffekter.,Vad är impressionism?
Konstperioder,200,Konstperiod som betonade känslor och individualism.,Vad är romantiken?
Konstperioder,300,Konstperiod som kännetecknas av geometriska former och starka färger.,Vad är kubism?
Konstperioder,400,Italiensk konstperiod under 1400- och 1500-talet.,Vad är renässansen?
Konstperioder,500,Konstperiod som fokuserade på drömmar och det undermedvetna.,Vad är surrealism?
Berömda konstverk,100,Leonardo da Vincis målning av en leende kvinna.,Vad är Mona Lisa?
Berömda konstverk,200,Edvard Munchs expressionistiska målning av en ångestfylld figur.,Vad är Skriet?
Berömda konstverk,300,Grant Woods målning av ett lantligt par framför ett hus.,Vad är American Gothic?
Berömda konstverk,400,Vermeers målning av en kvinna med pärlörhänge.,Vad är Flicka med pärlörhänge?
Berömda konstverk,500,Picassos kubistiska målning inspirerad av bombningen av en spansk stad.,Vad är Guernica?
Konsttermer,100,Italienskt ord för ljus och skugga i konst.,Vad är chiaroscuro?
Konsttermer,200,Teknik där färg appliceras i små prickar.,Vad är pointillism?
Konsttermer,300,Konstnärlig stil som använder överdrivna proportioner och färger.,Vad är karikatyr?
Konsttermer,400,Konststil som använder fragment av andra material i ett verk.,Vad är collage?
Konsttermer,500,Japansk konststil med träsnitt och träblock.,Vad är ukiyo-e?
