Category,Value,Question,Answer
Öl,100,Detta är den vanligaste typen av öl,Vad är lager?
Öl,200,Denna ölstil kännetecknas av sin mörka färg och rostade smak,Vad är stout?
Öl,300,Denna process ger öl sin alkoholhalt och kolsyra,Vad är jäsning?
Öl,400,Denna ölstil härstammar från Tjeckien och är känd för sin gyllene färg,Vad är pilsner?
Öl,500,Denna metod används för att ge öl en naturlig kolsyra i flaskan,Vad är flaskjäsning?
Vin,100,Denna färg har rödvin,Vad är röd eller lila?
Vin,200,Denna typ av vin är gjord på torkade druvor,Vad är dessertvin?
Vin,300,Denna region i Frankrike är känd för sina röda viner,Vad är Bordeaux?
Vin,400,Denna process används för att förbättra vinets smak över tid,Vad är lagring?
Vin,500,Denna teknik används för att avlägsna döda jästceller från mousserande vin,Vad är degorgering?
Whiskey,100,Detta land är känt för sin scotch whisky,Vad är Skottland?
Whiskey,200,Denna typ av whiskey måste produceras i USA för att få sitt namn,Vad är bourbon?
Whiskey,300,Denna process ger whiskey sin gyllene färg och smak,Vad är fatlagring?
Whiskey,400,Denna term beskriver en whiskey som består av flera olika sorters whiskey,Vad är blended whiskey?
Whiskey,500,Denna ovanliga whiskey görs av 100% råg,Vad är rye whiskey?
Drinkar,100,Denna drink består av rom och cola,Vad är Cuba Libre?
Drinkar,200,Denna klassiska drink görs med gin och vermouth,Vad är martini?
Drinkar,300,Denna drink innehåller vodka tomatjuice och kryddor,Vad är Bloody Mary?
Drinkar,400,Denna drink görs med tequila limejuice och trippel sec,Vad är margarita?
Drinkar,500,Denna drink innehåller konjak citronjuice och trippel sec,Vad är Sidecar?
Bartending,100,Detta verktyg används för att mäta alkohol vid drinkblandning,Vad är en jigger?
Bartending,200,Denna teknik används för att blanda drinkar genom att hälla dem mellan två glas,Vad är rolling?
Bartending,300,Denna garnering görs genom att skala citrusfrukter i en lång spiral,Vad är en twist?
Bartending,400,Denna metod används för att göra drinkar krämiga och skummiga,Vad är dry shake?
Bartending,500,Denna teknik används för att tända eld på alkohol i drinkar,Vad är flambering?
