Category,Value,Question,Answer
Världsdelar och länder,100,Den världsdel där Sverige ligger.,Vad är Europa?
Världsdelar och länder,200,Landet som är känt för sin känguru och operahuset i Sydney.,Vad är Australien?
Världsdelar och länder,300,Den största världsdelens namn.,Vad är Asien?
Världsdelar och länder,400,Landet där pyramiderna i Giza finns.,Vad är Egypten?
Världsdelar och länder,500,Landet som kallas för soluppgångens land.,Vad är Japan?
Kända städer,100,Staden som kallas för kärlekens stad.,Vad är Paris?
Kända städer,200,Staden där Frihetsgudinnan står.,Vad är New York?
Kända städer,300,Staden som är känd för sin kanal och gondoler.,Vad är Venedig?
Kända städer,400,Staden där Colosseum finns.,Vad är Rom?
Kända städer,500,Staden som är känd som Bollywoods hemstad.,Vad är Mumbai?
Naturliga underverk,100,Världens högsta berg.,Vad är Mount Everest?
Naturliga underverk,200,Det stora barriärrevet ligger i detta land.,Vad är Australien?
Naturliga underverk,300,Den längsta floden i världen.,Vad är Nilen?
Naturliga underverk,400,Den stora kanjonen ligger i detta land.,Vad är USA?
Naturliga underverk,500,Den största regnskogen i världen.,Vad är Amazonas?
Kultur och historia,100,Landet där Machu Picchu ligger.,Vad är Peru?
Kultur och historia,200,Den kinesiska muren byggdes i detta land.,Vad är Kina?
Kultur och historia,300,Staden där Akropolis ligger.,Vad är Aten?
Kultur och historia,400,Landet där Taj Mahal finns.,Vad är Indien?
Kultur och historia,500,Den antika staden Petra ligger i detta land.,Vad är Jordanien?
Stränder och semesterorter,100,Den spanska ö som är känd för sina fester och stränder.,Vad är Ibiza?
Stränder och semesterorter,200,Den thailändska ön som är populär bland turister.,Vad är Phuket?
Stränder och semesterorter,300,Den grekiska ön som är känd för sina vita hus och blå tak.,Vad är Santorini?
Stränder och semesterorter,400,Den karibiska ön som är känd för sina lyxiga semesterorter.,Vad är Barbados?
Stränder och semesterorter,500,Den maldiviska atollen som är känd för sina undervattenshotell.,Vad är Rangali?
