Category,Value,Question,Answer
Football,100,Vad kallas den mest prestigefyllda klubblagsturneringen i fotboll?,Champions League
Football,200,Vilken nation vann VM i fotboll 2014?,Tyskland
Football,300,Vem är känd som den bästa fotbollsspelaren genom tiderna?,Pelé
Football,400,Vilket lag har flest Premier League-titlar?,Manchester United
Football,500,Vem har gjort flest mål i historien för landslaget?,Cristiano Ronaldo
Tennis,100,Vad kallas turneringen där Wimbledon hålls?,Grand Slam
Tennis,200,Vem var den första kvinnliga tennisspelaren att vinna 20 Grand Slam-titlar?,Steffi Graf
Tennis,300,Vem har flest Grand Slam-titlar i herrsingel?,Roger Federer
Tennis,400,"Vilken tennisspelare kallas för ""Djoker""?",Novak Djokovic
Tennis,500,Vem var den första afroamerikanska kvinnan att vinna Wimbledon?,Althea Gibson
Basketball,100,Vad heter den amerikanska proffsligan i basket?,NBA
Basketball,200,Vilket lag har vunnit flest NBA-mästerskap?,Boston Celtics
Basketball,300,"Vem är känd för sin ""Sky Hook""-skott?",Kareem Abdul-Jabbar
Basketball,400,Vilken spelare har gjort flest poäng under en enda NBA-match?,Kobe Bryant
Basketball,500,Vem betraktas som den bästa baskethandlare genom tiderna?,Michael Jordan
Olympics,100,Vilken stad var värd för sommar-OS 2000?,Sydney
Olympics,200,Vad kallas det i friidrott som består av 100 och 200 meter löpning?,Sprint
Olympics,300,Vilket land har vunnit flest OS-guldmedaljer genom tiderna?,USA
Olympics,400,Hur många grenar ingår i ett olympiskt triathlon?,3
Olympics,500,Vem är den mest framgångsrika OS-atleten någonsin?,Michael Phelps
Formula 1,100,"Vad står ""F1"" för?",Formula One
Formula 1,200,Vilken förare har vunnit flest världsmästartitlar?,Lewis Hamilton
Formula 1,300,Vilken bana används för att köra Monaco Grand Prix?,Circuit de Monaco
Formula 1,400,Vilket team har flest konstruktörstitlar?,Ferrari
Formula 1,500,Vem var den första svarta F1-föraren?,Lewis Hamilton
