Category,Value,Question,Answer
TV-serier,100,Den populära fantasy-serien baserad på George R.R. Martins böcker,Vad är Game of Thrones?
TV-serier,200,Sitcom om sex vänner i New York,Vad är Friends?
TV-serier,300,Drama om en kemilärare som blir metamfetamintillverkare,Vad är Breaking Bad?
TV-serier,400,Sci-fi serie där barn kämpar mot monster från en alternativ dimension,Vad är Stranger Things?
TV-serier,500,Brittisk perioddramas om familjen Crawley,Vad är Downton Abbey?
Musik,100,Den svenska popgruppen bakom Waterloo,Vilka är ABBA?
Musik,200,Artist känd som The King of Pop,Vem är Michael Jackson?
Musik,300,Rappare vars album Folklore vann Album of the Year 2021,Vem är Taylor Swift?
Musik,400,Bandet som släppte albumet The Dark Side of the Moon,Vilka är Pink Floyd?
Musik,500,Den årliga musikfestivalen i öknen utanför Los Angeles,Vad är Coachella?
Film,100,Skådespelaren som spelar Iron Man i Marvel Cinematic Universe,Vem är Robert Downey Jr?
Film,200,Den högst inkomstbringande filmen genom tiderna,Vad är Avatar?
Film,300,Regissören bakom Pulp Fiction och Once Upon a Time in Hollywood,Vem är Quentin Tarantino?
Film,400,Den första färgfilmen att vinna Oscar för Bästa film,Vad är Borta med vinden?
Film,500,Studio som producerade Toy Story och Up,Vad är Pixar?
Sociala medier,100,Plattformen känd för sina 280-teckens meddelanden,Vad är Twitter?
Sociala medier,200,Appen där användare delar korta videor ofta med musik,Vad är TikTok?
Sociala medier,300,Grundaren av Facebook,Vem är Mark Zuckerberg?
Sociala medier,400,Plattformen för professionellt nätverkande,Vad är LinkedIn?
Sociala medier,500,Fenomenet där innehåll snabbt sprids online,Vad är att gå viralt?
Videospel,100,Nintendos maskot som är en rörmokare,Vem är Mario?
Videospel,200,Battle Royale-spelet utvecklat av Epic Games,Vad är Fortnite?
Videospel,300,Rollspelsserien där spelare utforskar post-apokalyptiska ökenlandskap,Vad är Fallout?
Videospel,400,Företaget bakom konsolen PlayStation,Vad är Sony?
Videospel,500,Det bästsäljande videospelet genom tiderna,Vad är Minecraft?
