Category,Value,Question,Answer
Historiska myter,100,Vikingarna bar inte dessa på sina hjälmar,Vad är horn?
Historiska myter,200,Napoleon var faktiskt inte kortare än genomsnittet för sin tid,Vad är Napoleons längd?
Historiska myter,300,Denna struktur är inte synlig från månen med blotta ögat,Vad är Kinesiska muren?
Historiska myter,400,Denna uppfinnare skapade inte glödlampan utan förbättrade den,Vem är Thomas Edison?
Historiska myter,500,Detta land upptäcktes inte av Columbus,Vad är Amerika?
Vetenskapliga missförstånd,100,Denna kroppsdel använder vi faktiskt mer än 10% av,Vad är hjärnan?
Vetenskapliga missförstånd,200,Denna planet är inte den varmaste i solsystemet trots sin närhet till solen,Vad är Merkurius?
Vetenskapliga missförstånd,300,Denna kraft får inte vatten att rinna ut ur ett hål i ett flygplan,Vad är vakuum?
Vetenskapliga missförstånd,400,Denna typ av strålning från mobiltelefoner orsakar inte cancer,Vad är icke-joniserande strålning?
Vetenskapliga missförstånd,500,Denna teori handlar inte om att allt är relativt,Vad är relativitetsteorin?
Konspirations teorier,100,Denna organisation påstås styra världen i hemlighet,Vad är Illuminati?
Konspirations teorier,200,Denna händelse påstås ha varit iscensatt i en filmstudio,Vad är månlandningen?
Konspirations teorier,300,Denna grupp påstås kontrollera vädret genom chemtrails,Vad är regeringen?
Konspirations teorier,400,Denna person påstås ha överlevt och levt i exil,Vem är Elvis Presley?
Konspirations teorier,500,Detta påstås vara den verkliga orsaken till vacciner,Vad är befolkningskontroll?
Populära villfarelser,100,Denna färg provocerar inte tjurar,Vad är röd?
Populära villfarelser,200,Denna kroppsdel fortsätter inte växa efter döden,Vad är håret?
Populära villfarelser,300,Denna fågel gömmer inte huvudet i sanden,Vad är strutsen?
Populära villfarelser,400,Denna typ av mat orsakar inte främst viktökning,Vad är sent ätande?
Populära villfarelser,500,Denna kroppsvätskas färg är inte blå innan den exponeras för luft,Vad är blod?
Felaktiga ordspråk,100,Myror är faktiskt inte särskilt intresserade av detta,Vad är picknickmat?
Felaktiga ordspråk,200,Denna fågel sjunger inte vackrast före sin död,Vad är svanen?
Felaktiga ordspråk,300,Denna kroppsdel växer inte när man ljuger,Vad är näsan?
Felaktiga ordspråk,400,Denna insekt dras inte till ljuset utan desorienteras av det,Vad är malen?
Felaktiga ordspråk,500,Denna fågel sticker inte huvudet i sanden vid fara,Vad är strutsen?
