Category,Value,Question,Answer
Klassiska Serier,100,Denna kafé var stamstället för vännerna i "Vänner",Vad är Central Perk?
Klassiska Serier,200,Denna familj bor på Privet Drive 4 i "Harry Potter",Vilka är Dursleys?
Klassiska Serier,300,Denna TV-serie utspelar sig på ett pappersföretag i Scranton,Vad är The Office?
Klassiska Serier,400,Denna fiktiva stad är hemvist för familjen Simpson,Vad är Springfield?
Klassiska Serier,500,Denna TV-serie skapades av David Chase och handlar om en maffiaboss,Vad är The Sopranos?
Svenska Favoriter,100,Denna komediserie utspelar sig i Solsidan,Vad är Solsidan?
Svenska Favoriter,200,Denna TV-serie handlar om en familj som driver en camping,Vad är Bonusfamiljen?
Svenska Favoriter,300,Denna kriminalserie baseras på Leif G.W. Perssons romaner,Vad är En man som heter Ove?
Svenska Favoriter,400,Denna dramaserie utspelar sig i Stockholms restaurangvärld,Vad är Vår tid är nu?
Svenska Favoriter,500,Denna komediserie skapades av Felix Herngren och handlar om en familj i kris,Vad är Bonusfamiljen?
Sci-Fi & Fantasy,100,Denna serie handlar om en tidsresande utomjording,Vad är Doctor Who?
Sci-Fi & Fantasy,200,Denna HBO-serie baseras på George R.R. Martins böcker,Vad är Game of Thrones?
Sci-Fi & Fantasy,300,Denna Netflix-serie utspelar sig i den fiktiva staden Hawkins,Vad är Stranger Things?
Sci-Fi & Fantasy,400,Denna serie skapades av Gene Roddenberry och utforskar rymden,Vad är Star Trek?
Sci-Fi & Fantasy,500,Denna serie baseras på Isaac Asimovs böcker om ett galaktiskt imperium,Vad är Foundation?
Kriminalserier,100,Denna detektiv bor på Baker Street 221B,Vem är Sherlock Holmes?
Kriminalserier,200,Denna svenska kriminalserie utspelar sig i Ystad,Vad är Wallander?
Kriminalserier,300,Denna serie handlar om en kemilärare som blir metamfetamintillverkare,Vad är Breaking Bad?
Kriminalserier,400,Denna serie följer en grupp bankrånare ledda av en mystisk man,Vad är La Casa de Papel (Money Heist)?
Kriminalserier,500,Denna HBO-serie utforskar polisarbete i Baltimore,Vad är The Wire?
Karaktärer,100,Denna karaktär är känd för frasen "Winter is coming",Vem är Ned Stark?
Karaktärer,200,Denna svenska TV-karaktär är en cynisk journalist,Vem är Annika Bengtzon?
Karaktärer,300,Denna karaktär är en excentrisk detektiv som löser fall i Los Angeles,Vem är Columbo?
Karaktärer,400,Denna karaktär är en alkoholiserad vetenskapsman som reser genom dimensioner,Vem är Rick Sanchez?
Karaktärer,500,Denna karaktär är en kvinnlig lönnmördare i serien "Killing Eve",Vem är Villanelle?
